GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, Shoot, GetBattleInfo, Shoot, Shoot
GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateRight90, GetBattleInfo, Shoot, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
Shoot, Shoot, MoveForward, Shoot, Shoot
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
Shoot, Shoot, MoveForward, Shoot, Shoot
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, Shoot, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
Shoot, Shoot, GetBattleInfo, Shoot, Shoot
GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
Shoot, Shoot, GetBattleInfo, Shoot, Shoot
GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
Shoot, Shoot, RotateLeft90, Shoot, Shoot
GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, Shoot, GetBattleInfo, RotateRight90
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, RotateLeft90, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, Shoot, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight90
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft90
GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90
Tie, both players have zero shells for 40 steps
