GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, RotateLeft45 (killed), Shoot, Shoot, Shoot, Shoot, Shoot
GetBattleInfo, killed, RotateLeft90, RotateLeft90, GetBattleInfo, GetBattleInfo, RotateLeft45
GetBattleInfo, killed, RotateRight90, RotateRight45, GetBattleInfo, GetBattleInfo, RotateRight45
GetBattleInfo, killed, RotateLeft90, RotateLeft45, GetBattleInfo, GetBattleInfo, RotateLeft45
GetBattleInfo, killed, RotateRight90, RotateRight45, GetBattleInfo, GetBattleInfo, RotateRight45
Shoot, killed, Shoot, Shoot, Shoot, Shoot, Shoot
GetBattleInfo (killed), killed, RotateLeft90, Shoot (killed), GetBattleInfo, GetBattleInfo, RotateLeft45
killed, killed, RotateRight90, killed, GetBattleInfo, RotateRight45, RotateRight45
killed, killed, RotateLeft90, killed, GetBattleInfo, MoveForward, RotateLeft45
killed, killed, RotateRight90, killed, GetBattleInfo, MoveForward, RotateRight45
killed, killed, Shoot, killed, GetBattleInfo, GetBattleInfo (killed), Shoot
killed, killed, RotateLeft90, killed, GetBattleInfo, killed, RotateLeft45
killed, killed, RotateRight90 (killed), killed, GetBattleInfo, killed, RotateRight45
killed, killed, killed, killed, RotateLeft90, killed, RotateLeft45
killed, killed, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, killed, RotateLeft90, killed, Shoot
killed, killed, killed, killed, MoveForward (killed), killed, RotateLeft45
Player 1 won with 1 tanks still alive
